Time;Channel B
(ms);(V)

-1,22045694;2,48420700
-1,21789694;2,52876400
-1,21533694;2,48420700
-1,21277694;2,39524500
-1,21021694;2,39524500
-1,20765694;2,39524500
-1,20509694;2,48420700
-1,20253694;2,43980200
-1,19997694;2,48420700
-1,19741694;2,52876400
-1,19485694;2,57316800
-1,19229694;2,52876400
-1,18973694;2,52876400
-1,18717694;2,57316800
-1,18461694;2,52876400
-1,18205694;2,48420700
-1,17949694;2,48420700
-1,17693694;2,52876400
-1,17437694;2,52876400
-1,17181694;2,43980200
-1,16925694;2,48420700
-1,16669694;2,52876400
-1,16413694;2,48420700
-1,16157694;2,39524500
-1,15901694;2,39524500
-1,15645694;2,48420700
-1,15389694;2,57316800
-1,15133694;2,61757300
-1,14877694;2,52876400
-1,14621694;2,57316800
-1,14365694;2,66213000
-1,14109694;2,57316800
-1,13853694;2,48420700
-1,13597694;2,48420700
-1,13341694;2,48420700
-1,13085694;2,39524500
-1,12829694;2,39524500
-1,12573694;2,48420700
-1,12317694;2,43980200
-1,12061694;2,39524500
-1,11805694;2,43980200
-1,11549694;2,48420700
-1,11293694;2,52876400
-1,11037694;2,61757300
-1,10781694;2,70653400
-1,10525694;2,75093800
-1,10269694;2,70653400
-1,10013694;2,70653400
-1,09757694;2,75093800
-1,09501694;2,66213000
-1,09245694;2,52876400
-1,08989694;2,52876400
-1,08733694;2,48420700
-1,08477694;2,39524500
-1,08221694;2,35084100
-1,07965694;2,39524500
-1,07709694;2,48420700
-1,07453694;2,52876400
-1,07197694;2,52876400
-1,06941694;2,57316800
