time	V(n004)
3.115421754698068e-05	2.506118e+00
3.120564611840950e-05	2.505571e+00
3.125707468983833e-05	2.505022e+00
3.130850326126715e-05	2.504471e+00
3.135993183269598e-05	2.503919e+00
3.141136040412480e-05	2.503366e+00
3.146421754698220e-05	2.502798e+00
3.151707468983960e-05	2.502244e+00
3.156993183269700e-05	2.501701e+00
3.162278897555441e-05	2.501170e+00
3.167564611841181e-05	2.500652e+00
3.172850326126921e-05	2.500146e+00
3.178136040412661e-05	2.499652e+00
3.184136040412691e-05	2.499120e+00
3.190136040412720e-05	2.498618e+00
3.196136040412750e-05	2.498145e+00
3.202136040412779e-05	2.497703e+00
3.208136040412808e-05	2.497291e+00
3.214136040412838e-05	2.496909e+00
3.220136040412867e-05	2.496558e+00
3.226421754698612e-05	2.496227e+00
3.232707468984357e-05	2.495919e+00
3.238993183270103e-05	2.495634e+00
3.245278897555848e-05	2.495372e+00
3.251564611841593e-05	2.495133e+00
3.257850326127338e-05	2.494917e+00
3.264136040413083e-05	2.494724e+00
3.270421754698828e-05	2.494541e+00
3.276707468984573e-05	2.494364e+00
3.282993183270318e-05	2.494191e+00
3.289278897556063e-05	2.494023e+00
3.295564611841809e-05	2.493860e+00
3.301850326127554e-05	2.493701e+00
3.308136040413299e-05	2.493548e+00
3.316850326127627e-05	2.493336e+00
3.325564611841956e-05	2.493121e+00
3.334278897556284e-05	2.492904e+00
3.342993183270612e-05	2.492684e+00
3.351707468984941e-05	2.492462e+00
3.360421754699269e-05	2.492238e+00
3.369136040413598e-05	2.492011e+00
3.377850326127926e-05	2.491771e+00
3.386564611842255e-05	2.491519e+00
3.395278897556583e-05	2.491254e+00
3.403993183270912e-05	2.490976e+00
3.412707468985240e-05	2.490685e+00
3.421421754699568e-05	2.490382e+00
3.430136040413897e-05	2.490065e+00
3.440850326128235e-05	2.489657e+00
3.451564611842573e-05	2.489235e+00
3.462278897556912e-05	2.488798e+00
3.472993183271250e-05	2.488347e+00
3.483707468985588e-05	2.487883e+00
3.494421754699926e-05	2.487404e+00
3.505136040414265e-05	2.486911e+00
3.510707468985721e-05	2.486649e+00
3.516278897557176e-05	2.486386e+00
3.521850326128632e-05	2.486124e+00
3.527421754700088e-05	2.485861e+00
3.532993183271544e-05	2.485598e+00
3.538564611843000e-05	2.485335e+00
3.544136040414456e-05	2.485071e+00
3.549850326128770e-05	2.484806e+00
3.555564611843083e-05	2.484554e+00
3.561278897557397e-05	2.484315e+00
3.566993183271711e-05	2.484091e+00
3.572707468986025e-05	2.483880e+00
3.578421754700338e-05	2.483683e+00
3.584136040414652e-05	2.483499e+00
3.589993183271824e-05	2.483338e+00
3.595850326128995e-05	2.483200e+00
3.601707468986167e-05	2.483085e+00
3.607564611843338e-05	2.482994e+00
3.613421754700510e-05	2.482926e+00
3.619278897557681e-05	2.482882e+00
3.625136040414853e-05	2.482861e+00
3.631564611843456e-05	2.482868e+00
3.637993183272059e-05	2.482891e+00
3.644421754700662e-05	2.482929e+00
3.650850326129265e-05	2.482984e+00
3.657278897557868e-05	2.483055e+00
3.663707468986471e-05	2.483142e+00
3.670136040415074e-05	2.483245e+00
3.675278897557956e-05	2.483329e+00
3.680421754700838e-05	2.483413e+00
3.685564611843721e-05	2.483497e+00
3.690707468986603e-05	2.483581e+00
3.695850326129485e-05	2.483666e+00
3.700993183272368e-05	2.483752e+00
3.706136040415250e-05	2.483837e+00
3.712707468986711e-05	2.483945e+00
3.719278897558172e-05	2.484048e+00
3.725850326129633e-05	2.484145e+00
3.732421754701093e-05	2.484236e+00
3.738993183272554e-05	2.484322e+00
3.745564611844015e-05	2.484402e+00
3.752136040415476e-05	2.484476e+00
3.759136040415510e-05	2.484543e+00
3.766136040415544e-05	2.484589e+00
3.773136040415579e-05	2.484614e+00
3.780136040415613e-05	2.484617e+00
3.787136040415647e-05	2.484599e+00
3.794136040415682e-05	2.484560e+00
3.801136040415716e-05	2.484499e+00
3.806278897558598e-05	2.484433e+00
3.811421754701481e-05	2.484355e+00
3.816564611844363e-05	2.484266e+00
3.821707468987245e-05	2.484166e+00
3.826850326130128e-05	2.484054e+00
3.831993183273010e-05	2.483930e+00
3.837136040415893e-05	2.483796e+00
3.842136040415917e-05	2.483657e+00
3.847136040415942e-05	2.483521e+00
3.852136040415966e-05	2.483387e+00
3.857136040415991e-05	2.483256e+00
3.862136040416015e-05	2.483127e+00
3.867136040416040e-05	2.483001e+00
3.872136040416064e-05	2.482877e+00
3.877136040416089e-05	2.482766e+00
3.882136040416113e-05	2.482671e+00
3.887136040416138e-05	2.482591e+00
3.892136040416162e-05	2.482526e+00
3.897136040416187e-05	2.482477e+00
3.902136040416211e-05	2.482443e+00
3.907136040416236e-05	2.482424e+00
3.919278897559152e-05	2.482471e+00
3.931421754702069e-05	2.482601e+00
3.943564611844986e-05	2.482814e+00
3.955707468987902e-05	2.483109e+00
3.967850326130819e-05	2.483488e+00
3.979993183273736e-05	2.483949e+00
3.992136040416653e-05	2.484493e+00
3.998421754702398e-05	2.484794e+00
4.004707468988143e-05	2.485109e+00
4.010993183273888e-05	2.485438e+00
4.017278897559633e-05	2.485780e+00
4.023564611845378e-05	2.486137e+00
4.029850326131123e-05	2.486507e+00
4.036136040416868e-05	2.486891e+00
4.041421754702608e-05	2.487220e+00
4.046707468988349e-05	2.487545e+00
4.051993183274089e-05	2.487866e+00
4.057278897559829e-05	2.488183e+00
4.062564611845569e-05	2.488496e+00
4.067850326131309e-05	2.488805e+00
4.073136040417050e-05	2.489109e+00
4.075564611845633e-05	2.489243e+00
4.077993183274216e-05	2.489373e+00
4.080421754702800e-05	2.489501e+00
4.082850326131383e-05	2.489625e+00
4.085278897559966e-05	2.489746e+00
4.087707468988550e-05	2.489864e+00
4.090136040417133e-05	2.489978e+00
4.091136040417138e-05	2.490024e+00
4.096850326131452e-05	2.490274e+00
4.102564611845765e-05	2.490503e+00
4.108278897560079e-05	2.490710e+00
4.113993183274393e-05	2.490897e+00
4.119707468988707e-05	2.491063e+00
4.125421754703020e-05	2.491208e+00
4.131136040417334e-05	2.491332e+00
4.136564611845932e-05	2.491431e+00
4.141993183274530e-05	2.491524e+00
4.147421754703128e-05	2.491610e+00
4.152850326131726e-05	2.491689e+00
4.158278897560324e-05	2.491762e+00
4.163707468988922e-05	2.491828e+00
4.169136040417520e-05	2.491887e+00
4.174850326131834e-05	2.491953e+00
4.180564611846148e-05	2.492028e+00
4.186278897560462e-05	2.492111e+00
4.191993183274775e-05	2.492203e+00
4.197707468989089e-05	2.492302e+00
4.203421754703403e-05	2.492410e+00
4.209136040417717e-05	2.492527e+00
4.214278897560599e-05	2.492647e+00
4.219421754703481e-05	2.492773e+00
4.224564611846364e-05	2.492903e+00
4.229707468989246e-05	2.493039e+00
4.234850326132128e-05	2.493181e+00
4.239993183275011e-05	2.493327e+00
4.245136040417893e-05	2.493479e+00
4.250564611846491e-05	2.493640e+00
4.255993183275089e-05	2.493791e+00
4.261421754703687e-05	2.493933e+00
4.266850326132285e-05	2.494066e+00
4.272278897560883e-05	2.494189e+00
4.277707468989481e-05	2.494303e+00
4.283136040418079e-05	2.494407e+00
4.287993183275246e-05	2.494482e+00
4.292850326132413e-05	2.494541e+00
4.297707468989579e-05	2.494585e+00
4.302564611846746e-05	2.494613e+00
4.307421754703913e-05	2.494625e+00
4.312278897561079e-05	2.494621e+00
4.317136040418246e-05	2.494602e+00
4.324850326132570e-05	2.494532e+00
4.332564611846893e-05	2.494433e+00
4.340278897561217e-05	2.494306e+00
4.347993183275540e-05	2.494151e+00
4.355707468989864e-05	2.493966e+00
4.363421754704187e-05	2.493753e+00
4.371136040418511e-05	2.493512e+00
4.375993183275678e-05	2.493355e+00
4.380850326132844e-05	2.493194e+00
4.385707468990011e-05	2.493028e+00
4.390564611847178e-05	2.492857e+00
4.395421754704344e-05	2.492682e+00
4.400278897561511e-05	2.492502e+00
4.405136040418678e-05	2.492318e+00
4.410564611847276e-05	2.492106e+00
4.415993183275874e-05	2.491894e+00
4.421421754704472e-05	2.491680e+00
4.426850326133070e-05	2.491465e+00
4.432278897561668e-05	2.491249e+00
4.437707468990266e-05	2.491032e+00
4.443136040418864e-05	2.490813e+00
4.448707468990320e-05	2.490592e+00
4.454278897561776e-05	2.490385e+00
4.459850326133232e-05	2.490190e+00
4.465421754704687e-05	2.490009e+00
4.470993183276143e-05	2.489841e+00
4.476564611847599e-05	2.489687e+00
4.482136040419055e-05	2.489546e+00
4.487136040419080e-05	2.489441e+00
4.492136040419104e-05	2.489355e+00
4.497136040419129e-05	2.489287e+00
4.502136040419153e-05	2.489239e+00
4.507136040419178e-05	2.489209e+00
4.512136040419202e-05	2.489197e+00
4.517136040419227e-05	2.489205e+00
4.522278897562109e-05	2.489236e+00
4.527421754704991e-05	2.489280e+00
4.532564611847874e-05	2.489336e+00
4.537707468990756e-05	2.489404e+00
4.542850326133639e-05	2.489485e+00
4.547993183276521e-05	2.489578e+00
4.553136040419403e-05	2.489684e+00
4.558278897562286e-05	2.489794e+00
4.563421754705168e-05	2.489900e+00
4.568564611848050e-05	2.490002e+00
4.573707468990933e-05	2.490100e+00
4.578850326133815e-05	2.490194e+00
4.583993183276697e-05	2.490284e+00
4.589136040419580e-05	2.490370e+00
4.593564611848173e-05	2.490431e+00
4.597993183276766e-05	2.490484e+00
4.602421754705359e-05	2.490527e+00
4.606850326133952e-05	2.490561e+00
4.611278897562545e-05	2.490587e+00
4.615707468991139e-05	2.490603e+00
4.620136040419732e-05	2.490609e+00
4.626850326134050e-05	2.490598e+00
