time;V(V_tia);
0.00789421;1.0248;
0.00789521;1.0248;
0.00789621;1.0248;
0.00789721;1.0248;
0.00789821;1.0248;
0.00789921;1.0248;
0.00790021;1.0248;
0.00790121;1.0248;
0.00790221;1.0248;
0.00790321;1.0248;
0.00790421;1.0248;
0.00790521;1.0248;
0.00790621;1.0248;
0.00790721;1.0248;
0.00790821;1.0248;
0.00790921;1.0248;
0.00791021;1.0248;
0.00791121;1.0248;
0.00791221;1.0248;
0.00791321;1.0248;
0.00791421;1.0248;
0.00791521;1.0248;
0.00791621;1.0248;
0.00791721;1.0248;
0.00791821;1.0248;
0.00791921;1.0248;
0.00792021;1.0248;
0.00792121;1.0248;
0.00792221;1.0248;
0.00792321;1.0248;
0.00792421;1.0248;
0.00792521;1.0248;
0.00792621;1.0248;
0.00792721;1.0248;
0.00792821;1.0248;
0.00792921;1.0248;
0.00793021;1.0248;
0.00793121;1.0248;
0.00793221;1.0248;
0.00793321;1.0248;
0.00793421;1.0248;
0.00793521;1.0248;
0.00793621;1.0248;
0.00793721;1.0248;
0.00793821;1.0248;
0.00793921;1.0248;
0.00794021;1.0248;
0.00794121;1.0248;
0.00794221;1.0248;
0.00794321;1.0248;
0.00794421;1.0248;
0.00794521;1.0248;
0.00794621;1.0248;
0.00794721;1.0248;
0.00794821;1.0248;
0.00794921;1.0248;
0.00795021;1.0248;
0.00795121;1.0248;
0.00795221;1.0248;
0.00795321;1.0248;
0.00795421;1.0248;
0.00795521;1.0248;
0.00795621;1.0248;
0.00795721;1.0248;
0.00795821;1.0248;
0.00795921;1.0248;
0.00796021;1.0248;
0.00796121;1.0248;
0.00796221;1.0248;
0.00796321;1.0248;
0.00796421;1.0248;
0.00796521;1.0248;
0.00796621;1.0248;
0.00796721;1.0248;
0.00796821;1.0248;
0.00796921;1.0248;
0.00797021;1.0248;
0.00797121;1.0248;
0.00797221;1.0248;
0.00797321;1.0248;
0.00797421;1.0248;
0.00797521;1.0248;
0.00797621;1.0248;
0.00797721;1.0248;
0.00797821;1.0248;
0.00797921;1.0248;
0.00798021;1.0248;
0.00798121;1.0248;
0.00798221;1.0248;
0.00798321;1.0248;
0.00798421;1.0248;
0.00798521;1.0248;
0.00798621;1.0248;
0.00798721;1.0248;
0.00798821;1.0248;
0.00798921;1.0248;
0.00799021;1.0248;
0.00799121;1.0248;
0.00799221;1.0248;
0.00799321;1.0248;
0.00799421;1.0248;
0.00799521;1.0248;
0.00799621;1.0248;
0.00799721;1.0248;
0.00799821;1.0248;
0.00799921;1.0248;
0.008;1.0248;
0.008;1.0248;
0.008;1.0248;
0.008;1.0248;
0.008;1.0248;
0.008;1.0248;
0.008;1.0248;
0.00800001;1.0248;
0.00800001;1.0248;
0.00800001;1.0248;
0.00800001;1.0248;
0.00800002;1.0248;
0.00800004;1.0248;
0.00800009;1.0248;
0.00800017;1.02481;
0.00800033;1.02485;
0.00800066;1.02499;
0.00800124;1.02547;
0.00800185;1.02625;
0.00800261;1.02751;
0.00800361;1.02944;
0.00800455;1.03131;
0.00800546;1.03288;
0.00800645;1.03415;
0.00800682;1.03447;
0.00800706;1.03463;
0.00800721;1.03471;
0.0080074;1.03479;
0.00800748;1.03481;
0.00800762;1.03485;
0.00800767;1.03486;
0.0080077;1.03486;
0.00800771;1.03487;
0.00800771;1.03487;
0.00800771;1.03487;
0.00800771;1.03487;
0.00800771;1.03487;
0.00800771;1.03487;
0.00800771;1.03487;
0.00800771;1.03487;
0.00800772;1.03487;
0.00800772;1.03487;
0.00800772;1.03487;
0.00800772;1.03487;
