time;V(V_filt);
0.00275759;-2.67855e-05;
0.00275859;-2.68926e-05;
0.00275959;-2.69997e-05;
0.00276059;-2.71068e-05;
0.00276159;-2.72138e-05;
0.00276259;-2.73209e-05;
0.00276359;-2.7428e-05;
0.00276459;-2.7535e-05;
0.00276559;-2.76421e-05;
0.00276659;-2.77491e-05;
0.00276759;-2.78561e-05;
0.00276859;-2.79631e-05;
0.00276959;-2.80701e-05;
0.00277059;-2.81771e-05;
0.00277159;-2.8284e-05;
0.00277259;-2.8391e-05;
0.00277359;-2.84979e-05;
0.00277459;-2.86049e-05;
0.00277559;-2.87118e-05;
0.00277659;-2.88187e-05;
0.00277759;-2.89256e-05;
0.00277859;-2.90325e-05;
0.00277959;-2.91394e-05;
0.00278059;-2.92463e-05;
0.00278159;-2.93531e-05;
0.00278259;-2.946e-05;
0.00278359;-2.95668e-05;
0.00278459;-2.96736e-05;
0.00278559;-2.97804e-05;
0.00278659;-2.98872e-05;
0.00278759;-2.9994e-05;
0.00278859;-3.01008e-05;
0.00278959;-3.02075e-05;
0.00279059;-3.03143e-05;
0.00279159;-3.0421e-05;
0.00279259;-3.05277e-05;
0.00279359;-3.06345e-05;
0.00279459;-3.07412e-05;
0.00279559;-3.08479e-05;
0.00279659;-3.09545e-05;
0.00279759;-3.10612e-05;
0.00279859;-3.11678e-05;
0.00279959;-3.12745e-05;
0.00280059;-3.13811e-05;
0.00280159;-3.14877e-05;
0.00280259;-3.15943e-05;
0.00280359;-3.17009e-05;
0.00280459;-3.18075e-05;
0.00280559;-3.19141e-05;
0.00280659;-3.20206e-05;
0.00280759;-3.21272e-05;
0.00280859;-3.22337e-05;
0.00280959;-3.23402e-05;
0.00281059;-3.24467e-05;
0.00281159;-3.25532e-05;
0.00281259;-3.26597e-05;
0.00281359;-3.27661e-05;
0.00281459;-3.28726e-05;
0.00281559;-3.2979e-05;
0.00281659;-3.30855e-05;
0.00281759;-3.31919e-05;
0.00281859;-3.32983e-05;
0.00281959;-3.34047e-05;
0.00282059;-3.3511e-05;
0.00282159;-3.36174e-05;
0.00282259;-3.37237e-05;
0.00282359;-3.38301e-05;
0.00282459;-3.39364e-05;
0.00282559;-3.40427e-05;
0.00282659;-3.4149e-05;
0.00282759;-3.42553e-05;
0.00282859;-3.43615e-05;
0.00282959;-3.44678e-05;
0.00283059;-3.4574e-05;
0.00283159;-3.46802e-05;
0.00283259;-3.47865e-05;
0.00283359;-3.48927e-05;
0.00283459;-3.49988e-05;
0.00283559;-3.5105e-05;
0.00283659;-3.52112e-05;
0.00283759;-3.53173e-05;
0.00283859;-3.54234e-05;
0.00283959;-3.55295e-05;
0.00284059;-3.56356e-05;
0.00284159;-3.57417e-05;
0.00284259;-3.58478e-05;
0.00284359;-3.59539e-05;
0.00284459;-3.60599e-05;
0.00284559;-3.61659e-05;
0.00284659;-3.62719e-05;
0.00284759;-3.63779e-05;
0.00284859;-3.64839e-05;
0.00284959;-3.65899e-05;
0.00285059;-3.66959e-05;
0.00285159;-3.68018e-05;
0.00285259;-3.69077e-05;
0.00285359;-3.70136e-05;
0.00285459;-3.71195e-05;
0.00285559;-3.72254e-05;
0.00285659;-3.73313e-05;
0.00285759;-3.74372e-05;
0.00285859;-3.7543e-05;
0.00285959;-3.76488e-05;
0.00286059;-3.77546e-05;
0.00286159;-3.78604e-05;
0.00286259;-3.79662e-05;
0.00286359;-3.8072e-05;
0.00286459;-3.81777e-05;
0.00286559;-3.82835e-05;
0.00286659;-3.83892e-05;
0.00286759;-3.84949e-05;
0.00286859;-3.86006e-05;
0.00286959;-3.87063e-05;
0.00287059;-3.88119e-05;
0.00287159;-3.89176e-05;
0.00287259;-3.90232e-05;
0.00287359;-3.91288e-05;
0.00287459;-3.92344e-05;
0.00287559;-3.934e-05;
0.00287659;-3.94456e-05;
0.00287759;-3.95511e-05;
0.00287859;-3.96566e-05;
0.00287959;-3.97622e-05;
0.00288059;-3.98677e-05;
0.00288159;-3.99732e-05;
0.00288259;-4.00786e-05;
0.00288359;-4.01841e-05;
0.00288459;-4.02895e-05;
0.00288559;-4.0395e-05;
0.00288659;-4.05004e-05;
0.00288759;-4.06058e-05;
0.00288859;-4.07111e-05;
0.00288959;-4.08165e-05;
0.00289059;-4.09218e-05;
0.00289159;-4.10272e-05;
0.00289259;-4.11325e-05;
0.00289359;-4.12378e-05;
0.00289459;-4.13431e-05;
0.00289559;-4.14483e-05;
0.00289659;-4.15536e-05;
0.00289759;-4.16588e-05;
0.00289859;-4.1764e-05;
0.00289959;-4.18692e-05;
0.00290059;-4.19744e-05;
0.00290159;-4.20796e-05;
0.00290259;-4.21847e-05;
0.00290359;-4.22898e-05;
0.00290459;-4.2395e-05;
0.00290559;-4.25001e-05;
0.00290659;-4.26051e-05;
0.00290759;-4.27102e-05;
0.00290859;-4.28153e-05;
0.00290959;-4.29203e-05;
0.00291059;-4.30253e-05;
0.00291159;-4.31303e-05;
0.00291259;-4.32353e-05;
0.00291359;-4.33402e-05;
0.00291459;-4.34452e-05;
0.00291559;-4.35501e-05;
0.00291659;-4.3655e-05;
0.00291759;-4.37599e-05;
0.00291859;-4.38648e-05;
0.00291959;-4.39697e-05;
0.00292059;-4.40745e-05;
0.00292159;-4.41793e-05;
0.00292259;-4.42841e-05;
0.00292359;-4.43889e-05;
0.00292459;-4.44937e-05;
0.00292559;-4.45985e-05;
0.00292659;-4.47032e-05;
0.00292759;-4.48079e-05;
0.00292859;-4.49126e-05;
0.00292959;-4.50173e-05;
